(S,T),SS SP,SS Prob,SSR SP,SSR Nom Prob,SSR Robust Prob,MST SP,MST Prob,MSTR SP,MSTR Nom Prob,MSTR Robust Prob
(3, 10),NA,NA,N/A,N/A,N/A,[3, 4, 5, 9, 10],0.1512,[3, 4, 11, 10],0.20999999999999996,WIP
(2, 10),NA,NA,N/A,N/A,N/A,[2, 6, 8, 16, 10],0.11339999999999997,[2, 6, 5, 9, 10],0.20159999999999997,WIP
(20, 10),[100, 20, 19, 17, 16, 10],0.19844999999999993,N/A,N/A,N/A,[20, 19, 17, 16, 10],0.19844999999999993,[20, 19, 15, 10],0.27999999999999997,WIP
(21, 10),NA,NA,N/A,N/A,N/A,[21, 22, 15, 10],0.18000000000000002,[21, 24, 23, 14, 11, 10],0.2116800000000002,WIP
(7, 10),NA,NA,[100, 7, 8, 6, 5, 9, 10],0.24192000000000005,0.24191999999999983,[7, 8, 16, 10],0.16799999999999998,[7, 8, 6, 5, 9, 10],0.24192,WIP
(1, 10),NA,NA,N/A,N/A,N/A,[1, 3, 4, 5, 9, 10],0.10584,[1, 3, 4, 11, 10],0.14699999999999996,WIP
(12, 10),NA,NA,N/A,N/A,N/A,[12, 11, 10],0.14999999999999997,[12, 11, 10],0.30000000000000004,WIP
(13, 10),NA,NA,N/A,N/A,N/A,[13, 12, 11, 10],0.12000000000000001,[13, 12, 11, 10],0.24,WIP
(24, 10),NA,NA,N/A,N/A,N/A,[24, 21, 22, 15, 10],0.1439999999999999,[24, 23, 14, 11, 10],0.2646,WIP
(18, 10),NA,NA,N/A,N/A,N/A,[18, 7, 8, 16, 10],0.15119999999999995,[18, 7, 8, 6, 5, 9, 10],0.21772800000000003,WIP
